-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.022,  0.115
-183.800, 80.199, 0.028,  0.148
-183.800, 80.199, 0.025,  0.181
-183.800, 80.198, 0.025,  0.214
-183.800, 80.197, 0.027,  0.247
-183.800, 80.196, 0.034,  0.280
-183.800, 80.194, 0.100,  0.313
-183.799, 80.188, 0.173,  0.346
-183.799, 80.179, 0.289,  0.379
-183.798, 80.166, 0.397,  0.412
-183.796, 80.149, 0.510,  0.445
-183.795, 80.127, 0.689,  0.478
-183.792, 80.099, 0.838,  0.511
-183.790, 80.063, 1.101,  0.544
-183.786, 80.019, 1.335,  0.577
-183.782, 79.968, 1.536,  0.610
-183.778, 79.912, 1.707,  0.643
-183.773, 79.851, 1.848,  0.676
-183.769, 79.786, 1.955,  0.709
-183.764, 79.720, 2.026,  0.742
-183.758, 79.652, 2.063,  0.775
-183.753, 79.583, 2.069,  0.808
-183.748, 79.516, 2.050,  0.841
-183.742, 79.450, 2.014,  0.874
-183.737, 79.385, 1.971,  0.907
-183.732, 79.322, 1.927,  0.940
-183.727, 79.260, 1.884,  0.973
-183.722, 79.199, 1.845,  1.006
-183.717, 79.139, 1.812,  1.039
-183.711, 79.081, 1.785,  1.072
-183.706, 79.022, 1.766,  1.105
-183.701, 78.964, 1.754,  1.138
-183.696, 78.907, 1.750,  1.171
-183.691, 78.849, 1.751,  1.204
-183.685, 78.790, 1.758,  1.237
-183.680, 78.732, 1.770,  1.270
-183.674, 78.672, 1.785,  1.303
-183.669, 78.613, 1.802,  1.336
-183.663, 78.552, 1.819,  1.369
-183.658, 78.491, 1.836,  1.402
-183.652, 78.430, 1.852,  1.435
-183.646, 78.368, 1.865,  1.468
-183.640, 78.306, 1.875,  1.501
-183.634, 78.243, 1.883,  1.534
-183.628, 78.181, 1.888,  1.567
-183.622, 78.118, 1.891,  1.600
-183.616, 78.055, 1.892,  1.633
-183.610, 77.993, 1.891,  1.666
-183.604, 77.930, 1.890,  1.699
-183.598, 77.867, 1.888,  1.732
